"";"Correlation";"x";"y";"z";"Label";"Hemisphere";"Relation"
"1";-0,06;-3,28442;-46,0083;32,2033;"L_d23ab_ROI";"L";"Negative"
"2";0,02;-19,7871;-43,5968;74,9115;"L_2_ROI";"L";"Positive"
"3";-0,03;-53,1246;1,17295;48,9119;"L_55b_ROI";"L";"Negative"
"4";-0,01;-10,013;26,0399;59,4416;"L_SFL_ROI";"L";"Negative"
"5";0,05;-21,1246;-99,7944;18,7942;"L_V3A_ROI";"L";"Positive"
"6";-0,05;-55,9253;-53,0052;46,7325;"L_PFm_ROI";"L";"Negative"
"7";-0,07;-40,6525;60,6529;4,25146;"L_a9-46v_ROI";"L";"Negative"
"8";0,08;-20,781;-61,287;-19,1979;"L_VMV1_ROI";"L";"Positive"
"9";-0,05;-61,2742;-50,0225;-10,6775;"L_TE1p_ROI";"L";"Negative"
"10";0,07;-48,4443;-18,0854;10,1201;"L_OP2-3_ROI";"L";"Positive"
"11";0,05;-37,2042;14,9355;-36,3865;"L_TGd_ROI";"L";"Positive"
"12";-0,11;-3,12163;-45,1669;31,8444;"L_d23ab_ROI";"L";"Negative"
"13";-0,17;-2,94492;-44,2161;31,4448;"L_d23ab_ROI";"L";"Negative"
"14";-0,2;-2,76381;-43,2;31,0252;"L_d23ab_ROI";"L";"Negative"
"15";-0,16;-2,58259;-42,1371;30,5948;"L_d23ab_ROI";"L";"Negative"
"16";-0,08;-2,40348;-41,0369;30,1583;"L_RSC_ROI";"L";"Negative"
"17";-0,05;-2,22767;-39,9048;29,7185;"L_RSC_ROI";"L";"Negative"
"18";0,04;-2,05571;-38,7449;29,2772;"L_RSC_ROI";"L";"Positive"
"19";0,1;-1,88772;-37,56;28,8354;"L_RSC_ROI";"L";"Positive"
"20";0,08;-1,72352;-36,3527;28,3937;"L_RSC_ROI";"L";"Positive"
"21";0,02;-3,25359;-46,5742;31,4027;"L_d23ab_ROI";"L";"Positive"
"22";0,1;-3,23092;-47,2042;30,4971;"L_d23ab_ROI";"L";"Positive"
"23";0,08;-3,22059;-47,8669;29,5285;"L_d23ab_ROI";"L";"Positive"
"24";0,05;-3,22531;-48,5483;28,5152;"L_d23ab_ROI";"L";"Positive"
"25";0,02;-3,24737;-49,2402;27,4667;"L_d23ab_ROI";"L";"Positive"
"26";0,06;-3,28889;-49,9372;26,3896;"L_d23ab_ROI";"L";"Positive"
"27";0,03;-3,35199;-50,6349;25,2887;"L_d23ab_ROI";"L";"Positive"
"28";-0,09;-3,43864;-51,3301;24,1682;"L_d23ab_ROI";"L";"Negative"
"29";-0,13;-3,55069;-52,0199;23,0317;"L_v23ab_ROI";"L";"Negative"
"30";-0,1;-3,68981;-52,7021;21,883;"L_v23ab_ROI";"L";"Negative"
"31";-0,1;-3,85731;-53,3751;20,7255;"L_v23ab_ROI";"L";"Negative"
"32";-0,11;-4,05417;-54,0377;19,5624;"L_v23ab_ROI";"L";"Negative"
"33";-0,24;-4,28091;-54,6887;18,3971;"L_v23ab_ROI";"L";"Negative"
"34";-0,22;-4,53758;-55,3276;17,2326;"L_v23ab_ROI";"L";"Negative"
"35";-0,13;-4,82369;-55,9537;16,0721;"L_v23ab_ROI";"L";"Negative"
"36";-0,07;-5,13814;-56,5665;14,9185;"L_v23ab_ROI";"L";"Negative"
"37";0;-5,4793;-57,1656;13,7748;"L_POS1_ROI";"L";"Positive"
"38";0,03;-5,84493;-57,7503;12,6435;"L_POS1_ROI";"L";"Positive"
"39";-0,03;-6,2322;-58,3198;11,5273;"L_POS1_ROI";"L";"Negative"
"40";-0,08;-6,63774;-58,873;10,4286;"L_POS1_ROI";"L";"Negative"
"41";-0,11;-7,05761;-59,4086;9,3494;"L_POS1_ROI";"L";"Negative"
"42";-0,1;-7,48745;-59,9249;8,29173;"L_POS1_ROI";"L";"Negative"
"43";-0,05;-7,92242;-60,4201;7,2571;"L_POS1_ROI";"L";"Negative"
"44";0,03;-8,35739;-60,8921;6,2467;"L_POS1_ROI";"L";"Positive"
"45";0,08;-8,78703;-61,3385;5,26129;"L_POS1_ROI";"L";"Positive"
"46";0,12;-9,2059;-61,7571;4,30117;"L_POS1_ROI";"L";"Positive"
"47";0,1;-9,60867;-62,1456;3,36615;"L_ProS_ROI";"L";"Positive"
"48";0,07;-9,9903;-62,5017;2,45555;"L_ProS_ROI";"L";"Positive"
"49";0,1;-10,3462;-62,8237;1,56821;"L_ProS_ROI";"L";"Positive"
"50";0,1;-10,6726;-63,1098;0,702614;"L_ProS_ROI";"L";"Positive"
"51";0,05;-10,9665;-63,3587;-0,143128;"L_ProS_ROI";"L";"Positive"
"52";0,01;-11,2263;-63,5696;-0,971135;"L_ProS_ROI";"L";"Positive"
"53";0,03;-11,4518;-63,7421;-1,7837;"L_ProS_ROI";"L";"Positive"
"54";0,07;-11,6446;-63,8763;-2,58324;"L_ProS_ROI";"L";"Positive"
"55";0,07;-11,8081;-63,9731;-3,37223;"L_ProS_ROI";"L";"Positive"
"56";0,03;-11,9477;-64,0341;-4,15323;"L_V1_ROI";"L";"Positive"
"57";0;-12,0708;-64,0617;-4,92879;"L_V1_ROI";"L";"Positive"
"58";0;-12,1863;-64,0593;-5,70137;"L_V1_ROI";"L";"Positive"
"59";0,03;-12,3044;-64,0313;-6,47309;"L_V1_ROI";"L";"Positive"
"60";0,04;-12,4357;-63,9827;-7,24553;"L_V1_ROI";"L";"Positive"
"61";0,01;-12,5908;-63,9186;-8,01942;"L_V1_ROI";"L";"Positive"
"62";0;-12,7796;-63,8439;-8,79447;"L_V1_ROI";"L";"Positive"
"63";0,03;-13,0105;-63,7627;-9,56938;"L_V1_ROI";"L";"Positive"
"64";0,02;-13,2899;-63,6774;-10,342;"L_V1_ROI";"L";"Positive"
"65";0,04;-13,6224;-63,5889;-11,1097;"L_V1_ROI";"L";"Positive"
"66";0,06;-14,01;-63,4963;-11,8698;"L_V2_ROI";"L";"Positive"
"67";0;-14,453;-63,3971;-12,6196;"L_V2_ROI";"L";"Positive"
"68";0,04;-14,9495;-63,288;-13,3572;"L_V2_ROI";"L";"Positive"
"69";-0,01;-15,4962;-63,1645;-14,081;"L_VMV1_ROI";"L";"Negative"
"70";0,02;-16,0884;-63,0222;-14,7899;"L_VMV1_ROI";"L";"Positive"
"71";0,11;-16,72;-62,8566;-15,4832;"L_VMV1_ROI";"L";"Positive"
"72";0,04;-17,3839;-62,6639;-16,1603;"L_VMV1_ROI";"L";"Positive"
"73";0,03;-18,0717;-62,4414;-16,8205;"L_VMV1_ROI";"L";"Positive"
"74";-0,12;-18,7735;-62,1877;-17,4621;"L_VMV1_ROI";"L";"Negative"
"75";-0,06;-19,4758;-61,9041;-18,0814;"L_VMV1_ROI";"L";"Negative"
"76";0,08;-20,1584;-61,5971;-18,6687;"L_VMV2_ROI";"L";"Positive"
"77";-0,01;-19,3551;-40,8162;-19,0918;"L_H_ROI";"L";"Negative"
"78";-0,02;-19,4447;-41,8225;-19,3032;"L_H_ROI";"L";"Negative"
"79";-0,04;-19,5027;-42,8364;-19,5081;"L_H_ROI";"L";"Negative"
"80";-0,03;-19,5422;-43,8643;-19,6987;"L_PreS_ROI";"L";"Negative"
"81";0,01;-19,5752;-44,9124;-19,8679;"L_PreS_ROI";"L";"Positive"
"82";0,01;-19,6114;-45,9851;-20,0098;"L_PreS_ROI";"L";"Positive"
"83";0,04;-19,658;-47,0855;-20,1194;"L_PreS_ROI";"L";"Positive"
"84";0,06;-19,719;-48,2145;-20,1938;"L_PHA1_ROI";"L";"Positive"
"85";0,08;-19,7959;-49,3718;-20,2312;"L_PHA1_ROI";"L";"Positive"
"86";0,15;-19,8876;-50,5554;-20,2317;"L_PHA1_ROI";"L";"Positive"
"87";0,09;-19,9913;-51,7621;-20,1969;"L_PHA1_ROI";"L";"Positive"
"88";0,12;-20,103;-52,9876;-20,1297;"L_PHA1_ROI";"L";"Positive"
"89";0,14;-20,2184;-54,2265;-20,0341;"L_PHA1_ROI";"L";"Positive"
"90";0,04;-20,3331;-55,4718;-19,9151;"L_VMV1_ROI";"L";"Positive"
"91";0,07;-20,443;-56,7144;-19,7784;"L_VMV1_ROI";"L";"Positive"
"92";0,05;-20,545;-57,9426;-19,6302;"L_VMV1_ROI";"L";"Positive"
"93";0,11;-20,6365;-59,139;-19,4777;"L_VMV1_ROI";"L";"Positive"
"94";0,13;-20,7158;-60,2743;-19,3295;"L_VMV1_ROI";"L";"Positive"
"95";-0,01;-3,0719;-45,7033;30,911;"L_d23ab_ROI";"L";"Negative"
"96";-0,07;-2,88974;-44,7477;30,4481;"L_d23ab_ROI";"L";"Negative"
"97";-0,12;-2,70805;-43,736;29,9908;"L_d23ab_ROI";"L";"Negative"
"98";-0,15;-2,52814;-42,6804;29,5353;"L_d23ab_ROI";"L";"Negative"
"99";-0,13;-2,35099;-41,588;29,0811;"L_RSC_ROI";"L";"Negative"
"100";-0,08;-2,17716;-40,4639;28,6288;"L_RSC_ROI";"L";"Negative"
"101";0,02;-2,00682;-39,3115;28,1786;"L_RSC_ROI";"L";"Positive"
"102";0,1;-1,83981;-38,1339;27,7308;"L_RSC_ROI";"L";"Positive"
"103";0,05;-3,04309;-46,313;29,9451;"L_d23ab_ROI";"L";"Positive"
"104";0,03;-2,85771;-45,3483;29,435;"L_d23ab_ROI";"L";"Positive"
"105";-0,03;-2,67506;-44,3328;28,9446;"L_d23ab_ROI";"L";"Negative"
"106";-0,1;-2,49545;-43,2766;28,4656;"L_RSC_ROI";"L";"Negative"
"107";-0,1;-2,31907;-42,1855;27,9947;"L_RSC_ROI";"L";"Negative"
"108";-0,01;-2,14595;-41,0637;27,5304;"L_RSC_ROI";"L";"Negative"
"109";0,02;-1,9759;-39,9144;27,0719;"L_RSC_ROI";"L";"Positive"
"110";0,07;-3,03115;-46,9584;28,9427;"L_d23ab_ROI";"L";"Positive"
"111";0,06;-2,84485;-45,9854;28,3996;"L_d23ab_ROI";"L";"Positive"
"112";0,04;-2,66196;-44,9651;27,8827;"L_d23ab_ROI";"L";"Positive"
"113";0;-2,48247;-43,9061;27,3835;"L_RSC_ROI";"L";"Positive"
"114";0;-2,30623;-42,8137;26,8978;"L_RSC_ROI";"L";"Positive"
"115";0,09;-2,13293;-41,6916;26,4228;"L_RSC_ROI";"L";"Positive"
"116";0,04;-1,96219;-40,5426;25,9569;"L_RSC_ROI";"L";"Positive"
"117";0,07;-3,03635;-47,625;27,9075;"L_d23ab_ROI";"L";"Positive"
"118";0,09;-2,85045;-46,6443;27,3408;"L_d23ab_ROI";"L";"Positive"
"119";0,11;-2,66787;-45,6189;26,8034;"L_RSC_ROI";"L";"Positive"
"120";0,1;-2,48847;-44,5563;26,2878;"L_RSC_ROI";"L";"Positive"
"121";0,13;-2,3119;-43,4613;25,7896;"L_RSC_ROI";"L";"Positive"
"122";0,14;-2,13774;-42,3374;25,3056;"L_RSC_ROI";"L";"Positive"
"123";0,09;-1,96554;-41,1872;24,8333;"L_RSC_ROI";"L";"Positive"
"124";0,07;-3,0599;-48,304;26,8436;"L_d23ab_ROI";"L";"Positive"
"125";0,16;-2,87507;-47,3158;26,2598;"L_d23ab_ROI";"L";"Positive"
"126";0,17;-2,69302;-46,2852;25,7068;"L_RSC_ROI";"L";"Positive"
"127";0,13;-2,51355;-45,2186;25,1783;"L_RSC_ROI";"L";"Positive"
"128";0,16;-2,33626;-44,1203;24,67;"L_RSC_ROI";"L";"Positive"
"129";0,14;-2,1607;-42,9936;24,1786;"L_RSC_ROI";"L";"Positive"
"130";0,14;-3,10338;-48,9895;25,7551;"L_d23ab_ROI";"L";"Positive"
"131";0,2;-2,91983;-47,9938;25,1587;"L_d23ab_ROI";"L";"Positive"
"132";0,2;-2,73828;-46,9577;24,5939;"L_RSC_ROI";"L";"Positive"
"133";0,14;-2,5585;-45,8866;24,0555;"L_RSC_ROI";"L";"Positive"
"134";0,16;-2,38008;-44,7845;23,5395;"L_RSC_ROI";"L";"Positive"
"135";0,1;-3,16853;-49,6766;24,6456;"L_d23ab_ROI";"L";"Positive"
"136";0,14;-2,98619;-48,6734;24,0399;"L_d23ab_ROI";"L";"Positive"
"137";0,15;-2,80493;-47,6316;23,4664;"L_RSC_ROI";"L";"Positive"
"138";0,12;-2,62449;-46,5556;22,9206;"L_RSC_ROI";"L";"Positive"
"139";0,1;-2,44457;-45,4492;22,3989;"L_RSC_ROI";"L";"Positive"
"140";-0,03;-3,25712;-50,3618;23,5188;"L_d23ab_ROI";"L";"Negative"
"141";0,01;-3,07574;-49,3511;22,9063;"L_RSC_ROI";"L";"Positive"
"142";0,03;-2,89443;-48,3032;22,3264;"L_RSC_ROI";"L";"Positive"
"143";0,05;-2,71299;-47,222;21,7754;"L_RSC_ROI";"L";"Positive"
"144";0,04;-2,53124;-46,1109;21,2496;"L_RSC_ROI";"L";"Positive"
"145";-0,13;-3,37084;-51,042;22,3778;"L_d23ab_ROI";"L";"Negative"
"146";-0,09;-3,19008;-50,0239;21,7605;"L_RSC_ROI";"L";"Negative"
"147";-0,06;-3,00836;-48,9697;21,1763;"L_RSC_ROI";"L";"Negative"
"148";-0,01;-2,82558;-47,8829;20,6217;"L_RSC_ROI";"L";"Negative"
"149";-0,11;-3,51125;-51,7152;21,226;"L_RSC_ROI";"L";"Negative"
"150";-0,09;-3,33073;-50,6896;20,6055;"L_RSC_ROI";"L";"Negative"
"151";-0,07;-3,14825;-49,6288;20,0185;"L_RSC_ROI";"L";"Negative"
"152";-0,06;-2,96385;-48,5363;19,4618;"L_RSC_ROI";"L";"Negative"
"153";-0,11;-3,67968;-52,3795;20,0665;"L_v23ab_ROI";"L";"Negative"
"154";-0,06;-3,49903;-51,3463;19,4442;"L_RSC_ROI";"L";"Negative"
"155";-0,1;-3,31548;-50,279;18,8557;"L_RSC_ROI";"L";"Negative"
"156";-0,11;-3,12925;-49,1804;18,298;"L_RSC_ROI";"L";"Negative"
"157";-0,18;-3,8771;-53,0335;18,9026;"L_v23ab_ROI";"L";"Negative"
"158";-0,15;-3,69601;-51,9929;18,2795;"L_RSC_ROI";"L";"Negative"
"159";-0,1;-3,51116;-50,9188;17,6906;"L_RSC_ROI";"L";"Negative"
"160";-0,09;-3,32302;-49,8141;17,133;"L_RSC_ROI";"L";"Negative"
"161";-0,03;-3,13234;-48,6814;16,6033;"L_RSC_ROI";"L";"Negative"
"162";-0,24;-4,10411;-53,6763;17,7373;"L_v23ab_ROI";"L";"Negative"
"163";-0,16;-3,92233;-52,6282;17,1145;"L_RSC_ROI";"L";"Negative"
"164";-0,07;-3,73606;-51,5473;16,5261;"L_RSC_ROI";"L";"Negative"
"165";-0,04;-3,546;-50,4362;15,9692;"L_RSC_ROI";"L";"Negative"
"166";-0,19;-4,36082;-54,307;16,5737;"L_v23ab_ROI";"L";"Negative"
"167";-0,07;-4,17823;-53,2515;15,9519;"L_RSC_ROI";"L";"Negative"
"168";-0,01;-3,99049;-52,1636;15,3648;"L_RSC_ROI";"L";"Negative"
"169";0;-3,7986;-51,0459;14,8093;"L_RSC_ROI";"L";"Positive"
"170";-0,06;-4,64683;-54,9251;15,4149;"L_v23ab_ROI";"L";"Negative"
"171";0,02;-4,46337;-53,862;14,7949;"L_v23ab_ROI";"L";"Positive"
"172";0,06;-4,27424;-52,7669;14,2096;"L_RSC_ROI";"L";"Positive"
"173";0,02;-4,08073;-51,6423;13,6561;"L_RSC_ROI";"L";"Positive"
"174";0;-3,88457;-50,491;13,131;"L_RSC_ROI";"L";"Positive"
"175";0,01;-4,96116;-55,5299;14,2637;"L_v23ab_ROI";"L";"Positive"
"176";0,1;-4,77688;-54,459;13,646;"L_v23ab_ROI";"L";"Positive"
"177";0,09;-4,5865;-53,3563;13,0632;"L_RSC_ROI";"L";"Positive"
"178";0,03;-4,39164;-52,2244;12,512;"L_RSC_ROI";"L";"Positive"
"179";0,01;-4,19437;-51,0662;11,9892;"L_RSC_ROI";"L";"Positive"
"180";0,03;-5,30225;-56,1207;13,1229;"L_v23ab_ROI";"L";"Positive"
"181";0,05;-5,11728;-55,0416;12,5082;"L_v23ab_ROI";"L";"Positive"
"182";0,03;-4,92589;-53,9308;11,9282;"L_RSC_ROI";"L";"Positive"
"183";0,01;-4,73001;-52,7911;11,3797;"L_RSC_ROI";"L";"Positive"
"184";0;-4,53208;-51,6254;10,8592;"L_RSC_ROI";"L";"Positive"
"185";-0,02;-5,66792;-56,6966;11,9952;"L_POS1_ROI";"L";"Negative"
"186";-0,05;-5,48247;-55,6088;11,3839;"L_POS1_ROI";"L";"Negative"
"187";-0,06;-5,29035;-54,4893;10,8071;"L_POS1_ROI";"L";"Negative"
"188";-0,04;-5,09387;-53,341;10,2614;"L_RSC_ROI";"L";"Negative"
"189";-0,02;-4,89579;-52,1672;9,74342;"L_RSC_ROI";"L";"Negative"
"190";-0,08;-6,05541;-57,2566;10,8831;"L_POS1_ROI";"L";"Negative"
"191";-0,11;-5,86972;-56,1592;10,2756;"L_POS1_ROI";"L";"Negative"
"192";-0,12;-5,67724;-55,0302;9,70214;"L_POS1_ROI";"L";"Negative"
"193";-0,08;-5,4806;-53,8726;9,15944;"L_RSC_ROI";"L";"Negative"
"194";-0,04;-5,28294;-52,6899;8,64379;"L_RSC_ROI";"L";"Negative"
"195";-0,03;-5,08776;-51,4857;8,15103;"L_RSC_ROI";"L";"Negative"
"196";-0,1;-6,46138;-57,7994;9,78887;"L_POS1_ROI";"L";"Negative"
"197";-0,13;-6,27575;-56,6914;9,18542;"L_POS1_ROI";"L";"Negative"
"198";-0,12;-6,08329;-55,5519;8,61544;"L_POS1_ROI";"L";"Negative"
"199";-0,08;-5,88702;-54,3841;8,07561;"L_RSC_ROI";"L";"Negative"
"200";-0,03;-5,69041;-53,1917;7,56213;"L_RSC_ROI";"L";"Negative"
"201";-0,01;-5,49734;-51,9786;7,07075;"L_RSC_ROI";"L";"Negative"
"202";-0,01;-5,31194;-50,749;6,5968;"L_RSC_ROI";"L";"Negative"
"203";-0,08;-6,88194;-58,3234;8,71452;"L_POS1_ROI";"L";"Negative"
"204";-0,08;-6,6967;-57,2037;8,11525;"L_POS1_ROI";"L";"Negative"
"205";-0,06;-6,50473;-56,0525;7,54873;"L_POS1_ROI";"L";"Negative"
"206";-0,03;-6,30941;-54,8735;7,01156;"L_POS1_ROI";"L";"Negative"
"207";0,01;-6,1146;-53,6705;6,49988;"L_RSC_ROI";"L";"Positive"
"208";0,02;-5,92453;-52,4478;6,00937;"L_RSC_ROI";"L";"Positive"
"209";0,01;-5,74361;-51,2098;5,53529;"L_RSC_ROI";"L";"Positive"
"210";-0,06;-7,31272;-58,8268;7,6618;"L_POS1_ROI";"L";"Negative"
"211";-0,02;-7,12826;-57,694;7,06668;"L_POS1_ROI";"L";"Negative"
"212";0,03;-6,93731;-56,53;6,5034;"L_POS1_ROI";"L";"Positive"
"213";0,08;-6,74364;-55,3386;5,96852;"L_POS1_ROI";"L";"Positive"
"214";0,08;-6,5515;-54,1241;5,45812;"L_RSC_ROI";"L";"Positive"
"215";0,07;-6,36546;-52,8912;4,96781;"L_RSC_ROI";"L";"Positive"
"216";0,04;-6,19023;-51,6445;4,49281;"L_RSC_ROI";"L";"Positive"
"217";0,03;-6,03054;-50,3889;4,02797;"L_RSC_ROI";"L";"Positive"
"218";-0,06;-7,74894;-59,3075;6,6321;"L_POS1_ROI";"L";"Negative"
"219";0;-7,56574;-58,1602;6,0409;"L_POS1_ROI";"L";"Positive"
"220";0,09;-7,37644;-56,982;5,48048;"L_POS1_ROI";"L";"Positive"
"221";0,14;-7,18526;-55,7773;4,94733;"L_POS1_ROI";"L";"Positive"
"222";0,13;-6,99682;-54,5505;4,43749;"L_RSC_ROI";"L";"Positive"
"223";0,11;-6,81604;-53,3067;3,94654;"L_RSC_ROI";"L";"Positive"
"224";0,07;-6,64792;-52,0509;3,46966;"L_RSC_ROI";"L";"Positive"
"225";0,06;-6,49743;-50,7882;3,00168;"L_RSC_ROI";"L";"Positive"
"226";0;-8,18555;-59,7633;5,6264;"L_POS1_ROI";"L";"Positive"
"227";0,02;-8,00416;-58,6;5,0387;"L_POS1_ROI";"L";"Positive"
"228";0,09;-7,81731;-57,4064;4,48054;"L_POS1_ROI";"L";"Positive"
"229";0,13;-7,62963;-56,1873;3,94837;"L_POS1_ROI";"L";"Positive"
"230";0,14;-7,44614;-54,9476;3,4382;"L_POS1_ROI";"L";"Positive"
"231";0,14;-7,27208;-53,6925;2,94559;"L_RSC_ROI";"L";"Positive"
"232";0,1;-7,11277;-52,4274;2,46572;"L_RSC_ROI";"L";"Positive"
"233";0,1;-6,97332;-51,1577;1,99341;"L_RSC_ROI";"L";"Positive"
"234";0,11;-6,85856;-49,8886;1,52321;"L_RSC_ROI";"L";"Positive"
"235";0,1;-6,7727;-48,6252;1,04943;"L_RSC_ROI";"L";"Positive"
"236";0,06;-8,61731;-60,1919;4,64524;"L_POS1_ROI";"L";"Positive"
"237";0,04;-8,43845;-59,0111;4,06041;"L_POS1_ROI";"L";"Positive"
